,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
155,ALTIN Fatma Damla,Female,18,Turkey,2020 Summer,2020,Summer,Athletics,0
156,ALTINTAS Nergiz,Female,30,Turkey,2020 Summer,2020,Summer,Table Tennis,0
157,ALTUNOLUK Sevda,Female,27,Turkey,2020 Summer,2020,Summer,Goalball,3
158,ALTUNOLUK Sevtap,Female,26,Turkey,2020 Summer,2020,Summer,Goalball,3
159,ALVES Ricardo,Male,32,Brazil,2020 Summer,2020,Summer,Football 5-a-side,3
160,ALVES ROCA Heriberto,Male,40,Brazil,2020 Summer,2020,Summer,Archery,0
161,ALZATE Guillermo,Male,37,Colombia,2020 Summer,2020,Summer,Wheelchair Basketball,0
162,ALZEYOUDI Maryam,Female,25,United Arab Emirates,2020 Summer,2020,Summer,Athletics,0
163,ALZEYOUDI Mozah,Female,28,United Arab Emirates,2020 Summer,2020,Summer,Powerlifting,0
164,AMADU Yusif,Male,43,Ghana,2020 Summer,2020,Summer,Athletics,0
165,AMAIMIA Fathia,Female,31,Tunisia,2020 Summer,2020,Summer,Athletics,0
166,AMANZHOL Zhanbota,Male,23,Kazakhstan,2020 Summer,2020,Summer,Judo,0
167,AMARAL SANTOS Marliane,Female,29,Brazil,2020 Summer,2020,Summer,Table Tennis,0
168,AMCHI Mohamed Nadjib,Male,29,Algeria,2020 Summer,2020,Summer,Athletics,0
169,AMER Ahmed,Male,36,Egypt,2020 Summer,2020,Summer,Sitting Volleyball,0
170,AMGUOUN Mohamed,Male,32,Morocco,2020 Summer,2020,Summer,Athletics,2
171,AMIMOTO Mari,Female,32,Japan,2020 Summer,2020,Summer,Wheelchair Basketball,0
172,AMIRI Hamed,Male,38,Islamic Republic of Iran,2020 Summer,2020,Summer,Athletics,3
173,AMNIR Wassime,Male,30,Belgium,2020 Summer,2020,Summer,Goalball,0
174,AMODEO Alberto,Male,20,Italy,2020 Summer,2020,Summer,Swimming,2
175,AMORIM MUNIZ de OLIVEIRA Caio,Male,28,Brazil,2020 Summer,2020,Summer,Swimming,0
176,AMORIM Victoria,Female,23,Brazil,2020 Summer,2020,Summer,Goalball,0
177,AMOUDI Saida,Female,41,Morocco,2020 Summer,2020,Summer,Athletics,1
178,ANDALOUSSI Ahmed,Male,48,France,2020 Summer,2020,Summer,Triathlon,0
179,ANDERSON Corey,Male,20,Australia,2020 Summer,2020,Summer,Athletics,0
180,ANDERSON Patrick,Male,41,Canada,2020 Summer,2020,Summer,Wheelchair Basketball,0
181,ANDERSON Shaun,Male,48,South Africa,2020 Summer,2020,Summer,Archery,0
182,ANDERSSON Emil,Male,27,Sweden,2020 Summer,2020,Summer,Table Tennis,0
183,ANDRADE Avelino,Male,40,Portugal,2020 Summer,2020,Summer,Boccia,0
184,ANDRADE de FREITAS David,Male,43,Brazil,2020 Summer,2020,Summer,Table Tennis,0
185,ANDRADE GUILLEN Luis Armando,Male,26,Mexico,2020 Summer,2020,Summer,Swimming,0
186,ANDRE Fabienne,Female,24,Great Britain,2020 Summer,2020,Summer,Athletics,0
